I,Q,A
1612,"¿Qué ocurre si un funcionario público favorece la evasión de un detenido según el artículo 181?","Si el autor es un funcionario público, la pena se aumenta en un tercio según el artículo 181."
1613,"¿Qué pena establece el artículo 182 si la evasión se produce por culpa de un funcionario público?","El artículo 182 establece una multa de treinta (30) a cien (100) días si la evasión se produce por culpa de un funcionario público."
1614,"¿Qué sanción establece el artículo 183 por eludir la ejecución de una sanción penal impuesta?","El artículo 183 establece una sanción de privación de libertad de uno (1) mes a un (1) año por eludir la ejecución de una sanción penal impuesta."
1615,"¿Qué establece el artículo 184 sobre el incumplimiento de una sanción penal firme por parte del encargado?","El artículo 184 establece que el encargado de hacer cumplir una sanción penal firme que omita hacerlo será sancionado con reclusión de uno (1) mes a un (1) año."
1616,"¿Qué sanción establece el artículo 185 para el encargado de un lugar de detención que reciba a una persona sin el mandamiento correspondiente?","El artículo 185 establece una sanción de reclusión de uno (1) mes a un (1) año para el encargado de un lugar de detención que reciba a una persona sin el mandamiento correspondiente."
1617,"¿Qué pena establece el artículo 185 Bis para quien participe en la legitimación de ganancias ilícitas?","El artículo 185 Bis establece una pena de privación de libertad de cinco (5) a diez (10) años y multa de doscientos (200) a quinientos (500) días para quien participe en la legitimación de ganancias ilícitas."
1618,"¿Qué institución se crea en el artículo 185 Ter para investigar la legitimación de ganancias ilícitas?","El artículo 185 Ter crea la Unidad de Investigaciones Financieras como parte de la estructura de la Superintendencia de Bancos y Entidades Financieras."
1619,"¿Qué sanción establece el artículo 186 para quien falsifique moneda o papel moneda?","El artículo 186 establece una sanción de privación de libertad de dos (2) a ocho (8) años para quien falsifique moneda o papel moneda."
1620,"¿Qué sanción establece el artículo 187 para quien ponga en circulación moneda falsa que recibió de buena fe?","El artículo 187 establece una sanción de multa de treinta (30) a cien (100) días para quien, habiendo recibido de buena fe moneda falsa, la ponga en circulación con conocimiento de su falsedad."
1621,"¿Qué sanción se impone a quien favorece la evasión de un detenido o condenado?","La sanción es la prestación de trabajo de uno (1) a seis (6) meses."
1622,"¿Qué sucede si un funcionario público favorece la evasión de un detenido o condenado?","La pena se incrementa en un tercio si el autor es un funcionario público."
1623,"¿En qué casos se disminuye la pena por favorecer la evasión?","La pena se disminuye si el autor es ascendiente, descendiente, cónyuge o hermano del evadido."
1624,"¿Qué sanción se impone al funcionario público si la evasión ocurre por culpa de este?","Se impone una multa de treinta (30) a cien (100) días."
1625,"¿Cuál es la sanción por quebrantar la ejecución de una sanción penal impuesta por sentencia firme?","La sanción es privación de libertad de un (1) mes a un (1) año."
1626,"¿Qué sucede si alguien quebranta el cumplimiento de una sanción firme que ya comenzó a cumplir?","La sanción es privación de libertad de tres (3) meses a dos (2) años."
1627,"¿Cuál es la sanción para el encargado que deja de ejecutar una sanción penal firme total o parcialmente?","El encargado es sancionado con reclusión de un (1) mes a un (1) año."
1628,"¿Qué sucede si un encargado sigue haciendo cumplir una sanción penal una vez transcurrido el término de la misma?","Es sancionado con reclusión de un (1) mes a un (1) año."
1629,"¿Qué ocurre si un encargado de un lugar de detención recibe a una persona sin el mandamiento correspondiente?","Será sancionado con reclusión de un (1) mes a un (1) año."
1630,"¿Cuál es la sanción para un encargado que entrega indebidamente a un detenido o condenado?","Se impone la misma pena de reclusión de un (1) mes a un (1) año, incluso si la entrega es a una autoridad o funcionario público."
1631,"¿Cuál es la sanción para quien adquiere, convierte o transfiere bienes vinculados a delitos para ocultar su origen o naturaleza?","La sanción es privación de libertad de cinco (5) a diez (10) años, inhabilitación para ejercer funciones públicas y multa de doscientos (200) a quinientos (500) días."
1632,"¿Qué se establece sobre la legitimación de ganancias ilícitas si los delitos que generan dichas ganancias ocurren en otro país?","El delito aplica incluso si los hechos que generan las ganancias ilícitas fueron cometidos total o parcialmente en otro país, siempre que sean considerados delictivos en ambos países."
1633,"¿Qué sanción se impone a quien facilite o incite la legitimación de ganancias ilícitas?","La sanción es privación de libertad de cuatro (4) a ocho (8) años."
1634,"¿Es necesaria una sentencia condenatoria previa para enjuiciar por legitimación de ganancias ilícitas?","No, el delito de legitimación de ganancias ilícitas es autónomo y puede ser investigado, enjuiciado y sentenciado sin necesidad de sentencia condenatoria previa."
1635,"¿Qué unidad se crea para investigar la legitimación de ganancias ilícitas?","Se crea la Unidad de Investigaciones Financieras, que forma parte de la estructura de la Superintendencia de Bancos y Entidades Financieras."
1636,"¿Qué sucede si las entidades financieras no cumplen con las obligaciones establecidas para evitar la legitimación de ganancias ilícitas?","Se harán pasibles a sanciones administrativas establecidas en las normas legales que regulan el sistema financiero."
1637,"¿Qué establece la ley sobre el secreto bancario en investigaciones de legitimación de ganancias ilícitas?","Las entidades financieras no podrán invocar el secreto bancario cuando la Unidad de Investigaciones Financieras requiera información para el cumplimiento de sus funciones."
1638,"¿Qué sanción se impone por falsificar moneda metálica o papel moneda de curso legal?","La sanción es privación de libertad de dos (2) a ocho (8) años."
1639,"¿Cuál es la sanción por poner en circulación moneda falsa recibida de buena fe, pero con conocimiento posterior de su falsedad?","La sanción es una multa de treinta (30) a cien (100) días."
1640,"¿Qué se equipara a la moneda según el artículo 188?","Se equiparan los billetes de banco, bonos de la deuda nacional, títulos, cédulas y acciones al portador, y los cheques."
1641,"¿Qué sanción se impone al encargado que fabrica o emite moneda que no cumple con los requisitos legales?","La sanción es reclusión de uno (1) a cinco (5) años."
1642,"¿Qué sucede si una persona emite títulos, cédulas o acciones al portador en cantidad superior a la autorizada?","Se impone la misma pena de reclusión de uno (1) a cinco (5) años."
1643,"¿Qué sanción se impone por falsificar sellos oficiales o papel sellado?","La sanción es privación de libertad de uno (1) a seis (6) años."
1644,"¿Qué artículo sanciona a quien favorece la evasión de un detenido o condenado?","El artículo 181 sanciona a quien favorece la evasión de un detenido o condenado."
1645,"¿En qué artículo se establece una sanción para el funcionario público que provoca la evasión por culpa?","El artículo 182 establece la sanción para el funcionario público que provoca la evasión por culpa."
1646,"¿Cuál es el artículo que trata sobre el quebrantamiento de una sanción penal impuesta?","El artículo 183 trata sobre el quebrantamiento de una sanción penal impuesta."
1647,"¿Qué artículo regula la sanción para el encargado de hacer cumplir una sanción penal firme que la deje de ejecutar?","El artículo 184 regula la sanción para el encargado que deje de ejecutar una sanción penal firme."
1648,"¿Qué artículo establece la sanción para quien entrega indebidamente a un detenido o condenado?","El artículo 185 establece la sanción para quien entrega indebidamente a un detenido o condenado."
1649,"¿En qué artículo se establece la sanción para quien adquiere bienes vinculados a delitos para ocultar su origen?","El artículo 185 Bis establece la sanción para quien adquiere bienes vinculados a delitos para ocultar su origen."
1650,"¿Qué artículo regula la creación de la Unidad de Investigaciones Financieras para combatir la legitimación de ganancias ilícitas?","El artículo 185 Ter regula la creación de la Unidad de Investigaciones Financieras."
1651,"¿Qué artículo sanciona la falsificación de moneda metálica o papel moneda de curso legal?","El artículo 186 sanciona la falsificación de moneda metálica o papel moneda de curso legal."
1652,"¿Cuál es el artículo que establece la sanción para quien pone en circulación moneda falsa recibida de buena fe?","El artículo 187 establece la sanción para quien pone en circulación moneda falsa recibida de buena fe."
1653,"¿Qué artículo equipara billetes de banco y otros valores a la moneda para efectos de sanciones?","El artículo 188 equipara billetes de banco y otros valores a la moneda para efectos de sanciones."
1654,"¿Qué sanción establece el artículo 191 para quien imprime fraudulentamente un sello oficial?","El artículo 191 establece una sanción de reclusión de uno (1) a tres (3) años."
1655,"¿Qué sucede si alguien pone en circulación valores falsificados que recibió de buena fe según el artículo 192?","El artículo 192 establece una sanción de multa de treinta (30) a cien (100) días."
1656,"¿Cuál es la sanción por falsificar marcas o contraseñas oficiales según el artículo 193?","El artículo 193 establece una sanción de reclusión de seis (6) meses a tres (3) años."
1657,"¿Qué pena se aplica a quien falsifica billetes de empresas públicas o privadas de transporte según el artículo 194?","El artículo 194 establece una sanción de reclusión de uno (1) a seis (6) meses o multa de veinte (20) a ciento veinte (120) días."
1658,"¿Qué establece el artículo 195 sobre la falsificación de entradas a espectáculos públicos?","El artículo 195 establece una sanción de reclusión de uno (1) a seis (6) meses o multa de veinte (20) a ciento veinte (120) días."
1659,"¿Qué sanción se impone por reutilizar sellos o timbres usados con fines de lucro según el artículo 196?","El artículo 196 establece una sanción de multa de treinta (30) a cien (100) días."
1660,"¿Qué pena se aplica a quien posee o fabrica materiales destinados a falsificaciones según el artículo 197?","El artículo 197 establece una sanción de reclusión de seis (6) meses a dos (2) años."
1661,"¿Qué sanción se impone por forjar o alterar documentos públicos según el artículo 198?","El artículo 198 establece una sanción de privación de libertad de uno (1) a seis (6) años."
1662,"¿Qué establece el artículo 199 sobre la falsedad ideológica en documentos públicos?","El artículo 199 establece una sanción de privación de libertad de uno (1) a seis (6) años para quien inserte declaraciones falsas en un documento público verdadero."
1663,"¿Cuál es la sanción para un funcionario público que comete falsedad material o ideológica en el ejercicio de sus funciones según el artículo 199?","El artículo 199 establece una sanción de privación de libertad de dos (2) a ocho (8) años."
1664,"¿Qué sanción se impone por falsificar documentos privados según el artículo 200?","El artículo 200 establece una sanción de privación de libertad de seis (6) meses a dos (2) años."
1665,"¿Qué condición agrava la sanción por falsificación de documentos públicos según el artículo 199?","Si el autor de la falsificación es un funcionario público y lo comete en el ejercicio de sus funciones, la sanción será de dos (2) a ocho (8) años."
1666,"¿Qué artículo sanciona la impresión fraudulenta de un sello oficial?","El artículo 191 sanciona la impresión fraudulenta de un sello oficial."
1667,"¿Qué diferencia establece el artículo 192 para quien recibe de buena fe valores falsificados y luego los pone en circulación?","El artículo 192 establece que, si la persona recibió los valores de buena fe pero luego supo de su falsedad y los puso en circulación, será sancionado con multa de treinta (30) a cien (100) días."
1668,"¿En qué artículo se regula la falsificación de marcas y contraseñas oficiales usadas para certificar objetos?","El artículo 193 regula la falsificación de marcas y contraseñas oficiales usadas para certificar objetos."
1669,"¿Qué artículo menciona la falsificación de billetes de empresas públicas y privadas de transporte?","El artículo 194 menciona la falsificación de billetes de empresas públicas y privadas de transporte."
1670,"¿Qué pena se aplica a quien falsifica entradas a espectáculos públicos según el artículo 195?","La pena establecida en el artículo 195 es reclusión de uno (1) a seis (6) meses o multa de veinte (20) a ciento veinte (120) días."
1671,"¿Qué establece el artículo 196 sobre el uso indebido de sellos o timbres ya utilizados?","El artículo 196 establece que quien haga desaparecer el signo de inutilización de sellos o timbres usados con objeto de venderlos o usarlos será sancionado con multa de treinta (30) a cien (100) días."
1672,"¿Qué sanción menciona el artículo 197 para quien negocia o conserva instrumentos destinados a cometer falsificaciones?","El artículo 197 menciona que la sanción es de reclusión de seis (6) meses a dos (2) años para quien negocia o conserva instrumentos destinados a cometer falsificaciones."
1673,"¿Qué artículo sanciona la falsificación material de documentos públicos y cuál es la sanción?","El artículo 198 sanciona la falsificación material de documentos públicos con privación de libertad de uno (1) a seis (6) años."
1674,"¿Qué diferencia existe entre la falsedad material y la falsedad ideológica según los artículos 198 y 199?","La falsedad material (artículo 198) implica la forja o alteración física de un documento, mientras que la falsedad ideológica (artículo 199) implica la inserción de declaraciones falsas en un documento público verdadero."
1675,"¿Qué agravante se menciona en el artículo 199 si la falsificación es cometida por un funcionario público?","El artículo 199 establece que si la falsificación es cometida por un funcionario público en el ejercicio de sus funciones, la pena será mayor, de dos (2) a ocho (8) años."
1676,"¿Qué condición impone el artículo 200 para que la falsificación de un documento privado sea sancionada?","El artículo 200 establece que la falsificación de un documento privado será sancionada si su uso puede ocasionar algún perjuicio."
1677,"¿En qué artículo se menciona la sanción para quien falsifica o altera billetes de transporte?","El artículo 194 menciona la sanción para quien falsifica o altera billetes de transporte."
1678,"¿Qué sanción se impone por falsificar o alterar, con fines de lucro, entradas a espectáculos según el artículo 195?","El artículo 195 impone una sanción de reclusión de uno (1) a seis (6) meses o multa de veinte (20) a ciento veinte (120) días por falsificar entradas a espectáculos."
1679,"¿En qué artículo se menciona la fabricación o posesión de materiales para falsificación y su sanción?","El artículo 197 menciona la fabricación o posesión de materiales para falsificación, con una sanción de seis (6) meses a dos (2) años de reclusión."
1680,"¿Qué sanción se impone por forjar un documento público falso de acuerdo al artículo 198?","El artículo 198 impone una sanción de privación de libertad de uno (1) a seis (6) años por forjar un documento público falso."
1681,"¿Qué artículo establece la sanción para la impresión fraudulenta de sellos oficiales?","El artículo 191 establece la sanción para la impresión fraudulenta de sellos oficiales."
1682,"¿En qué artículo se regula la recepción de valores falsificados que luego se ponen en circulación?","El artículo 192 regula la recepción de valores falsificados que luego se ponen en circulación."
1683,"¿Cuál es el artículo que trata sobre la falsificación de marcas y contraseñas oficiales?","El artículo 193 trata sobre la falsificación de marcas y contraseñas oficiales."
1684,"¿Qué artículo sanciona la falsificación de billetes de transporte de empresas públicas o privadas?","El artículo 194 sanciona la falsificación de billetes de transporte de empresas públicas o privadas."
1685,"¿En qué artículo se establece la sanción por falsificar entradas a espectáculos públicos?","El artículo 195 establece la sanción por falsificar entradas a espectáculos públicos."
1686,"¿Qué artículo menciona el uso indebido de sellos o timbres ya utilizados?","El artículo 196 menciona el uso indebido de sellos o timbres ya utilizados."
1687,"¿Cuál es el artículo que establece la sanción por fabricar o poseer materiales destinados a falsificaciones?","El artículo 197 establece la sanción por fabricar o poseer materiales destinados a falsificaciones."
1688,"¿Qué artículo regula la falsificación de documentos públicos y su sanción?","El artículo 198 regula la falsificación de documentos públicos y su sanción."
1689,"¿Cuál es el artículo que sanciona la falsedad ideológica en documentos públicos?","El artículo 199 sanciona la falsedad ideológica en documentos públicos."
1690,"¿Qué artículo establece la sanción por falsificación de documentos privados?","El artículo 200 establece la sanción por falsificación de documentos privados."
1691,"¿Qué sanción establece el artículo 211 para quien fabrica o posee explosivos con el fin de crear un peligro común?","El artículo 211 establece una sanción de privación de libertad de uno (1) a cuatro (4) años."
1692,"¿Qué delitos se mencionan en el artículo 212 sobre desastres en medios de transporte?","El artículo 212 menciona desastres en medios de transporte terrestre, naufragios y caídas de transporte aéreo."
1693,"¿Cuál es la sanción para quien atenta contra la seguridad de los transportes públicos según el artículo 213?","El artículo 213 establece una sanción de reclusión de uno (1) a cuatro (4) años para quien atente contra la seguridad de los transportes públicos."
1694,"¿Qué pena establece el artículo 214 para quien atente contra la seguridad de los servicios públicos de agua, luz o energía?","El artículo 214 establece una pena de privación de libertad de dos (2) a seis (6) años."
1695,"¿En qué casos se aumenta la sanción mencionada en los artículos anteriores según el artículo 215?","El artículo 215 establece que si se destruyen bienes de gran valor científico, artístico, histórico, religioso, militar o económico, la sanción será aumentada en un tercio."
1696,"¿Qué sanción establece el artículo 216 para quien propague enfermedades graves o contagiosas?","El artículo 216 establece una sanción de privación de libertad de uno (1) a diez (10) años."
1697,"¿Qué establece el artículo 216 sobre la adulteración de productos alimenticios?","El artículo 216 establece que quien envenene, contamine o adultere productos alimenticios será sancionado con privación de libertad de uno (1) a diez (10) años."
1698,"¿Qué delitos menciona el artículo 218 sobre el ejercicio ilegal de la medicina?","El artículo 218 menciona que será sancionado quien ejerza una profesión médica sin título o autorización, anuncie curaciones infalibles o innecesarias, o preste su nombre a otro para que ejerza la medicina."
1699,"¿En qué casos se aumentará la pena según el artículo 219?","El artículo 219 establece que la pena será aumentada en un cuarto si hubiere peligro de muerte para alguna persona, y en un tercio si resultare la muerte o lesiones graves."
1700,"¿Qué sanción impone el artículo 220 cuando los delitos contra la salud pública son cometidos por culpa?","El artículo 220 establece reclusión de seis (6) meses a dos (2) años si no resulta enfermedad o muerte, y se aumenta la pena en la mitad si resultare la enfermedad o muerte."
1701,"¿Qué artículo sanciona la fabricación o tenencia de sustancias explosivas con fines peligrosos?","El artículo 211 sanciona la fabricación o tenencia de sustancias explosivas con fines peligrosos."
1702,"¿En qué artículo se menciona el castigo por ocasionar desastres en medios de transporte?","El artículo 212 menciona el castigo por ocasionar desastres en medios de transporte."
1703,"¿Qué artículo trata sobre los atentados contra la seguridad de los transportes públicos?","El artículo 213 trata sobre los atentados contra la seguridad de los transportes públicos."
1704,"¿Cuál es el artículo que regula la sanción por atentar contra la seguridad de los servicios públicos?","El artículo 214 regula la sanción por atentar contra la seguridad de los servicios públicos."
1705,"¿Qué artículo aumenta la sanción si se destruyen bienes de gran valor cultural o económico?","El artículo 215 aumenta la sanción si se destruyen bienes de gran valor cultural o económico."
1706,"¿Qué artículo establece la sanción por propagar enfermedades graves o contagiosas?","El artículo 216 establece la sanción por propagar enfermedades graves o contagiosas."
1707,"¿En qué artículo se sanciona el comercio de sustancias nocivas para la salud?","El artículo 216 sanciona el comercio de sustancias nocivas para la salud."
1708,"¿Qué artículo regula el ejercicio ilegal de la medicina?","El artículo 218 regula el ejercicio ilegal de la medicina."
1709,"¿Qué artículo establece agravantes cuando los delitos contra la salud pública causan peligro de muerte o lesiones graves?","El artículo 219 establece agravantes cuando los delitos contra la salud pública causan peligro de muerte o lesiones graves."
1710,"¿Qué artículo menciona las sanciones por delitos contra la salud pública cometidos por culpa?","El artículo 220 menciona las sanciones por delitos contra la salud pública cometidos por culpa."
1711,"¿Qué sanción establece el artículo 221 para un servidor público que celebre contratos en perjuicio del Estado?","El artículo 221 establece una sanción de privación de libertad de cinco (5) a diez (10) años para un servidor público que celebre contratos en perjuicio del Estado."
1712,"¿Cuál es la pena para un particular que celebre contratos lesivos a la economía nacional según el artículo 221?","El artículo 221 establece una pena de reclusión de tres (3) a ocho (8) años para un particular que celebre contratos lesivos a la economía nacional."
1713,"¿Qué establece el artículo 222 sobre el incumplimiento de contratos celebrados con el Estado?","El artículo 222 establece una sanción de privación de libertad de tres (3) a ocho (8) años para quien incumpla contratos celebrados con el Estado sin justa causa."
1714,"¿Qué sanción se impone según el artículo 223 a quien destruya o deteriore bienes del Estado?","El artículo 223 establece una sanción de privación de libertad de uno (1) a seis (6) años para quien destruya o deteriore bienes del Estado."
1715,"¿Qué establece el artículo 224 sobre la conducta antieconómica de un servidor público?","El artículo 224 establece una sanción de privación de libertad de tres (3) a ocho (8) años para un servidor público que, por mala administración, cause daños al patrimonio del Estado."
1716,"¿En qué casos se agrava la sanción por infidencia económica según el artículo 225?","El artículo 225 establece que la sanción se agravará en un tercio si la infidencia económica se realiza en beneficio propio o de terceros."
1717,"¿Cuál es la sanción para quien alza o baja el precio de mercancías mediante artificios fraudulentos según el artículo 226?","El artículo 226 establece una sanción de privación de libertad de seis (6) meses a tres (3) años para quien manipule el precio de mercancías mediante artificios fraudulentos."
1718,"¿Qué establece el artículo 227 sobre la destrucción de productos con grave perjuicio para la riqueza nacional?","El artículo 227 establece una sanción de privación de libertad de uno (1) a tres (3) años para quien destruya productos con grave perjuicio para la riqueza nacional."
1719,"¿Qué sanción establece el artículo 228 para quien obtenga dinero o ventajas económicas ilegítimas abusando de su condición de dirigente?","El artículo 228 establece una sanción de privación de libertad de uno (1) a tres (3) años para quien obtenga dinero o ventajas económicas ilegítimas abusando de su condición de dirigente."
1720,"¿Cuál es la pena para un servidor público que comete el delito de contribuciones y ventajas ilegítimas según el artículo 228 Bis?","El artículo 228 Bis establece una pena de privación de libertad de tres (3) a ocho (8) años para un servidor público que comete el delito de contribuciones y ventajas ilegítimas."
1721,"¿Qué artículo sanciona la celebración de contratos en perjuicio del Estado?","El artículo 221 sanciona la celebración de contratos en perjuicio del Estado."
1722,"¿En qué artículo se menciona el incumplimiento de contratos con el Estado?","El artículo 222 menciona el incumplimiento de contratos con el Estado."
1723,"¿Qué artículo establece la sanción por destruir bienes del Estado o patrimonio nacional?","El artículo 223 establece la sanción por destruir bienes del Estado o patrimonio nacional."
1724,"¿Cuál es el artículo que sanciona la mala administración que cause daño al patrimonio del Estado?","El artículo 224 sanciona la mala administración que cause daño al patrimonio del Estado."
1725,"¿Qué artículo trata sobre la infidencia económica relacionada con la revelación de datos reservados?","El artículo 225 trata sobre la infidencia económica relacionada con la revelación de datos reservados."
1726,"¿En qué artículo se sanciona el alza o baja de precios mediante noticias falsas o artificios fraudulentos?","El artículo 226 sanciona el alza o baja de precios mediante noticias falsas o artificios fraudulentos."
1727,"¿Qué artículo menciona la destrucción de productos que cause perjuicio a la economía nacional?","El artículo 227 menciona la destrucción de productos que cause perjuicio a la economía nacional."
1728,"¿Qué artículo regula las contribuciones y ventajas ilegítimas obtenidas abusando de una posición de dirigente?","El artículo 228 regula las contribuciones y ventajas ilegítimas obtenidas abusando de una posición de dirigente."
1729,"¿Cuál es el artículo que sanciona a servidores públicos por contribuciones y ventajas ilegítimas con daño económico al Estado?","El artículo 228 Bis sanciona a servidores públicos por contribuciones y ventajas ilegítimas con daño económico al Estado."
1730,"¿Qué artículo sanciona la organización de sociedades ficticias para obtener beneficios indebidos?","El artículo 229 sanciona la organización de sociedades ficticias para obtener beneficios indebidos."
1731,"¿Qué sanciona el artículo 231 sobre la evasión de impuestos?","El artículo 231 establece que los delitos tributarios tipificados en el Código Tributario y la Ley General de Aduanas serán sancionados conforme al Título IV del Código Penal."
1732,"¿Qué establece el artículo 232 sobre el sabotaje en establecimientos industriales?","El artículo 232 establece una sanción de uno (1) a ocho (8) años de privación de libertad para quien invada, ocupe o dañe establecimientos industriales, agrícolas o mineros."
1733,"¿Cuál es la sanción por monopolizar la importación, producción o distribución de mercancías según el artículo 233?","El artículo 233 establece una sanción de reclusión de seis (6) meses a tres (3) años y multa de cien (100) a quinientos (500) días por monopolizar la importación, producción o distribución de mercancías con el fin de elevar los precios."
1734,"¿Qué sanciona el artículo 234 sobre lock-outs, huelgas o paros ilegales?","El artículo 234 sanciona con privación de libertad de uno (1) a cinco (5) años y multa de cien (100) a quinientos (500) días a quien promueva lock-outs, huelgas o paros ilegales."
1735,"¿Qué establece el artículo 235 sobre el fraude comercial?","El artículo 235 establece una sanción de privación de libertad de seis (6) meses a tres (3) años para quien engañe al comprador entregándole un producto diferente en lugar público o abierto al público."
1736,"¿Qué sanción impone el artículo 236 por engañar con productos industriales?","El artículo 236 impone una sanción de privación de libertad de seis (6) meses a tres (3) años por vender productos industriales que induzcan a engaño sobre su origen, procedencia, cantidad o calidad."
1737,"¿Cuál es la sanción por desviar clientela de un establecimiento mediante propaganda desleal según el artículo 237?","El artículo 237 establece una sanción de multa de treinta (30) a cien (100) días por desviar clientela mediante propaganda desleal."
1738,"¿Qué establece el artículo 238 sobre la corrupción de dependientes?","El artículo 238 establece una sanción de multa de treinta (30) a cien (100) días para quien dé o prometa dinero u otra ventaja económica a un dependiente del competidor para obtener ganancia indebida."
1739,"¿Qué sanciona el artículo 239 sobre la tenencia de pesas y medidas falsas?","El artículo 239 sanciona con prestación de trabajo de uno (1) a seis (6) meses o multa de veinte (20) a ciento veinte (120) días a quien tenga en su poder pesas y medidas falsas."
1740,"¿Cuál es la sanción por cometer bigamia según el artículo 240?","El artículo 240 establece una sanción de privación de libertad de dos (2) a cuatro (4) años para quien contraiga un nuevo matrimonio sin haber disuelto el anterior."
1741,"¿Qué artículo menciona la evasión de impuestos y su sanción?","El artículo 231 menciona la evasión de impuestos y su sanción."
1742,"¿En qué artículo se sanciona el sabotaje en establecimientos industriales, agrícolas o mineros?","El artículo 232 sanciona el sabotaje en establecimientos industriales, agrícolas o mineros."
1743,"¿Cuál es el artículo que regula el monopolio en la importación, producción o distribución de mercancías?","El artículo 233 regula el monopolio en la importación, producción o distribución de mercancías."
1744,"¿Qué artículo trata sobre lock-outs, huelgas y paros ilegales?","El artículo 234 trata sobre lock-outs, huelgas y paros ilegales."
1745,"¿Qué artículo sanciona el fraude comercial en lugares públicos?","El artículo 235 sanciona el fraude comercial en lugares públicos."
1746,"¿En qué artículo se sanciona el engaño en la venta de productos industriales?","El artículo 236 sanciona el engaño en la venta de productos industriales."
1747,"¿Qué artículo menciona las sanciones por desviar clientela de un establecimiento mediante propaganda desleal?","El artículo 237 menciona las sanciones por desviar clientela mediante propaganda desleal."
1748,"¿Cuál es el artículo que regula la corrupción de dependientes?","El artículo 238 regula la corrupción de dependientes."
1749,"¿En qué artículo se sanciona la tenencia, uso o fabricación de pesas y medidas falsas?","El artículo 239 sanciona la tenencia, uso o fabricación de pesas y medidas falsas."
1750,"¿Qué artículo menciona la sanción por cometer bigamia?","El artículo 240 menciona la sanción por cometer bigamia."
1751,"¿Cuál es la sanción para quien, no siendo casado, contrajere matrimonio con una persona casada a sabiendas?","Será sancionado con privación de libertad de uno (1) a tres (3) años."
1752,"¿Qué pena se aplica a quien induzca en error esencial al otro contrayente en el matrimonio?","Será sancionado con privación de libertad de dos (2) a cuatro (4) años."
1753,"¿Qué sucede si alguien oculta un impedimento legal respecto a su estado civil o del otro contrayente en un matrimonio?","Será sancionado con privación de libertad de dos (2) a cuatro (4) años."
1754,"¿Qué sanción recibe un oficial del Registro Civil que autoriza un matrimonio ilegal de los descritos en los artículos 240 y 241?","Será sancionado con privación de libertad de dos (2) a seis (6) años."
1755,"¿Qué sucede si un oficial del Registro Civil no cumple con las formalidades legales al celebrar un matrimonio?","Será sancionado con privación de libertad de dos (2) a seis (6) años."
1756,"¿Cuál es la sanción para quien se atribuyere autoridad para celebrar un matrimonio de manera falsa?","Será sancionado con privación de libertad de dos (2) a seis (6) años."
1757,"¿Qué sanción se aplica a quien simule un matrimonio mediante engaño?","Será sancionado con privación de libertad de dos (2) a seis (6) años."
1758,"¿Qué pena recibe quien inscriba en el Registro Civil a una persona inexistente?","Será sancionado con reclusión de uno (1) a cinco (5) años."
1759,"¿Qué sucede si se insertan hechos falsos en el registro de nacimientos para alterar el estado civil de un recién nacido?","Será sancionado con reclusión de uno (1) a cinco (5) años."
1760,"¿Cuál es la pena para quien, mediante ocultación o substitución, deje a un recién nacido sin estado civil?","Será sancionado con reclusión de uno (1) a cinco (5) años."
1761,"¿Qué sanción recibe quien finja preñez o parto para otorgar a un supuesto hijo derechos que no le corresponden?","Será sancionado con reclusión de uno (1) a cinco (5) años."
1762,"¿Qué ocurre si un oficial del Registro Civil autoriza inscripciones falsas a sabiendas?","La pena será agravada en un tercio."
1763,"¿Qué establece el artículo 245 sobre la atenuación de la pena por causa de honor?","La pena será atenuada en una mitad si se incurre en los casos de los incisos 2) y 3) del artículo anterior."
1764,"¿Cómo se atenúa la pena si el hecho se cometió para amparar o ayudar a la alimentación, cuidado o educación del menor o incapaz?","La pena se atenuará en una mitad o no habrá sanción alguna, según las circunstancias."
1765,"¿Cuál es la sanción para quien substrajere a un menor de dieciséis años o a un jurídicamente incapaz de la potestad de sus padres?","Será sancionado con privación de libertad de cinco (5) a diez (10) años."
1766,"¿Qué sucede si se retiene a un menor de dieciséis años contra su voluntad?","Será sancionado con privación de libertad de cinco (5) a diez (10) años."
1767,"¿Qué pena se aplica si la víctima de una subtracción tiene más de dieciséis años y no hubo consentimiento?","Se aplicará la misma pena de cinco (5) a diez (10) años."
1768,"¿Qué sanción recibe quien induce a fugar a un menor de dieciséis años o a un jurídicamente incapaz?","Será sancionado con privación de libertad de dos (2) a cuatro (4) años."
1769,"¿Cuál es la sanción para quien retenga a un menor o incapaz contra la voluntad de sus padres o tutores?","Será sancionado con privación de libertad de dos (2) a cuatro (4) años."
1770,"¿Qué pena se impone a quien abandona a su familia sin justa causa, incumpliendo sus obligaciones de sustento, habitación y asistencia?","Será sancionado con reclusión de seis (6) meses a dos (2) años o multa de cien (100) a cuatrocientos (400) días."
1771,"¿Qué establece el artículo 248 sobre el abandono de ascendientes o descendientes mayores incapacitados?","Incurrirá en la misma pena de reclusión de seis (6) meses a dos (2) años o multa de cien (100) a cuatrocientos (400) días."
1772,"¿Qué sucede si un padre, tutor o curador no provee a la instrucción primaria de un menor en edad escolar sin justa causa?","Será sancionado con privación de libertad de seis (6) meses a dos (2) años e inhabilitación para ejercer la autoridad de padre, tutor o curador."
1773,"¿Cuál es la sanción para quien permita que un menor frecuente casas de juego o de mala fama?","Será sancionado con privación de libertad de seis (6) meses a dos (2) años e inhabilitación para ejercer la autoridad de padre, tutor o curador."
